# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5] c_myrdfs[6] c_myrdfs[7]
100000 250
170 8.136 0.984701 75.2382 1.00589 150.451 0.999078 150.696
171 8.184 0.988796 76.5716 1.00716 153.17 0.992977 153.379
172 8.232 0.992634 77.926 1.00431 155.913 0.993567 156.096
173 8.28 0.993704 79.2977 1.00449 158.689 0.991978 158.84
174 8.328 0.988949 80.6787 1.00313 161.493 0.991673 161.615
175 8.376 0.989649 82.0767 1.00546 164.337 0.991108 164.42
176 8.424 0.996556 83.5006 1.00469 167.21 0.991929 167.261
177 8.472 0.997387 84.942 1.00249 170.111 0.98791 170.122
178 8.52 0.999223 86.4024 0.99963 173.036 0.989642 173.02
179 8.568 1.0004 87.8811 1.00048 175.996 0.9867 175.943
180 8.616 0.998719 89.3739 1.00121 178.992 0.988474 178.903
181 8.664 0.999676 90.8848 1.0004 182.019 0.988562 181.897
182 8.712 0.996325 92.4074 0.996911 185.069 0.98947 184.928
183 8.76 0.999408 93.9515 0.999181 188.16 0.991176 187.996
184 8.808 1.00032 95.5141 0.997227 191.278 0.989922 191.095
185 8.856 0.997203 97.0888 0.997064 194.43 0.99214 194.235
186 8.904 1.00139 98.6873 0.994983 197.61 0.993761 197.414
187 8.952 1.00266 100.305 0.994618 200.823 0.994021 200.628
188 9 1.00351 101.942 0.995431 204.073 0.991939 203.87
189 9.048 1.00208 103.594 0.995024 207.356 0.996041 207.16
190 9.096 1.00977 105.276 0.994204 210.672 0.9961 210.485
191 9.144 0.996191 106.953 0.993172 214.019 0.994469 213.84
192 9.192 1.00105 108.656 0.995036 217.408 0.998607 217.244
193 9.24 1.00031 110.375 0.993871 220.829 0.99843 220.684
194 9.288 1.00301 112.118 0.996609 224.294 0.998406 224.159
195 9.336 1.0003 113.873 0.993266 227.784 1.00018 227.676
196 9.384 1.00201 115.65 0.994396 231.314 1.00015 231.23
197 9.432 1.00366 117.447 0.996382 234.886 1.00189 234.826
198 9.48 1.00438 119.265 0.996854 238.498 1.00412 238.467
199 9.528 1.00415 121.1 0.994863 242.138 1.00109 242.134
200 9.576 0.99759 122.942 0.997416 245.825 1.00225 245.842
201 9.624 1.00501 124.816 0.999723 249.557 1.00266 249.589
202 9.672 0.998147 126.697 1.00023 253.329 1.0032 253.376
203 9.72 1.00364 128.606 0.998608 257.132 1.00211 257.196
204 9.768 1.00449 130.535 1.00007 260.978 1.0011 261.05
205 9.816 1.00213 132.48 1.00249 264.872 1.00383 264.952
206 9.864 1.00427 134.447 1.00192 268.801 1.00277 268.889
207 9.912 1.00164 136.429 1.00113 272.766 1.00158 272.859
208 9.96 1.00482 138.436 1.00304 276.777 1.00224 276.871
209 10.008 0.999341 140.451 1.00695 280.842 1.00335 280.926
210 10.056 1.00629 142.5 1.00551 284.941 1.00488 285.026
211 10.104 1.00268 144.561 1.00442 289.074 1.00086 289.148
212 10.152 1.00361 146.643 1.00235 293.238 1.00036 293.308
213 10.2 1.00139 148.741 1.00491 297.452 1.00147 297.512
214 10.248 0.997718 150.851 1.00369 301.701 1.00071 301.753
215 10.296 1.00119 152.988 1.00505 305.996 1.00072 306.033
216 10.344 1.00087 155.144 1.00469 310.329 1.00085 310.354
217 10.392 1.00176 157.322 1.00353 314.698 1.00052 314.713
218 10.44 1.00087 159.519 1.00326 319.105 0.999677 319.11
219 10.488 1.00225 161.739 1.00524 323.562 0.999012 323.543
220 10.536 1.00513 163.985 1.00148 328.043 1.0022 328.032
221 10.584 1.00422 166.25 1.00331 332.574 1.00093 332.556
222 10.632 1.00215 168.531 1.00413 337.149 0.998684 337.111
223 10.68 1.00949 170.849 1.00273 341.759 1.00019 341.714
224 10.728 1.0103 173.191 1.00281 346.412 1.00027 346.359
225 10.776 1.00433 175.539 1.00189 351.101 0.998217 351.036
226 10.824 1.0032 177.905 1.00347 355.84 1.00061 355.766
227 10.872 1.00204 180.29 1.0019 360.614 1.00052 360.538
228 10.92 1.00498 182.703 1.00015 365.421 1.0015 365.356
229 10.968 1.00528 185.138 1.00196 370.279 0.999977 370.21
230 11.016 1.00301 187.589 1.00014 375.172 1.00068 375.109
231 11.064 1.00308 190.061 1.00063 380.109 0.999994 380.049
232 11.112 0.998925 192.544 0.997761 385.075 0.998915 385.025
233 11.16 1.00027 195.053 0.999161 390.091 1.00091 390.055
234 11.208 1.003 197.59 0.999978 395.154 1.00148 395.131
235 11.256 1.00507 200.154 1.00041 400.264 1.00263 400.256
236 11.304 0.996101 202.716 1.00056 405.417 1.00278 405.426
237 11.352 1.00175 205.316 0.99792 410.601 1.00079 410.63
238 11.4 1.00172 207.937 0.996895 415.823 1.001 415.879
239 11.448 1.00007 210.576 1.0002 421.107 1.00035 421.169
240 11.496 1.00057 213.238 0.999514 426.431 1.00069 426.505
241 11.544 1.00176 215.926 0.997737 431.791 1.00019 431.882
242 11.592 0.996102 218.621 0.997224 437.192 1.00179 437.314
243 11.64 1.00208 221.355 0.999741 442.652 0.997771 442.768
244 11.688 1.00565 224.121 0.999082 448.154 0.999062 448.275
245 11.736 0.999106 226.892 0.999686 453.704 0.998164 453.822
246 11.784 1.003 229.696 1.00256 459.315 0.999412 459.422
247 11.832 1.00339 232.524 1.0017 464.968 0.998034 465.059
248 11.88 1.0027 235.374 1.00198 470.668 0.998599 470.746
249 11.928 1.00209 238.244 0.999205 476.399 0.996609 476.467
250 11.976 0.998844 241.129 1.00264 482.195 0.997846 482.241
