# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5] c_myrdfs[6] c_myrdfs[7]
100000 250
104 4.968 1.03903 16.9608 0.988621 33.4659 0.986773 33.0176
105 5.016 1.02993 17.4826 0.986924 34.4668 0.991187 34.0239
106 5.064 1.00821 18.0031 0.97724 35.477 0.999472 35.058
107 5.112 0.993717 18.526 0.97204 36.5009 1.00141 36.1139
108 5.16 0.985589 19.0544 0.97313 37.5453 1.00721 37.1959
109 5.208 0.976708 19.5878 0.966238 38.6017 1.01217 38.3036
110 5.256 0.965107 20.1246 0.965754 39.6771 1.01626 39.4364
111 5.304 0.961442 20.6692 0.958544 40.7641 1.01477 40.5882
112 5.352 0.951995 21.2182 0.960452 41.873 1.01817 41.765
113 5.4 0.925122 21.7614 0.952781 42.9929 1.02024 42.9654
114 5.448 0.925364 22.3144 0.961174 44.1429 1.01854 44.1851
115 5.496 0.915886 22.8714 0.96343 45.3159 1.01628 45.4237
116 5.544 0.90161 23.4294 0.963052 46.509 1.01654 46.6844
117 5.592 0.905328 23.9994 0.967927 47.7291 1.01242 47.9617
118 5.64 0.897872 24.5745 0.972035 48.9754 1.01213 49.2608
119 5.688 0.900292 25.161 0.97683 50.2493 1.00946 50.5785
120 5.736 0.914652 25.7669 0.98376 51.554 1.00275 51.9097
121 5.784 0.912949 26.3818 0.982128 52.8784 0.99682 53.2552
122 5.832 0.919392 27.0115 0.988271 54.2334 0.988041 54.6111
123 5.88 0.926458 27.6564 0.99633 55.6219 0.986849 55.9878
124 5.928 0.926017 28.3116 0.998305 57.036 0.984285 57.3834
125 5.976 0.942836 28.9896 0.99747 58.4719 0.979467 58.7948
126 6.024 0.948471 29.6826 1.00107 59.9362 0.973337 60.2199
127 6.072 0.956407 30.3926 1.00648 61.432 0.97078 61.664
128 6.12 0.973785 31.1269 1.00427 62.9481 0.967063 63.1255
129 6.168 0.978678 31.8766 1.00376 64.4874 0.968518 64.6122
130 6.216 0.984342 32.6424 1.00852 66.0582 0.962007 66.1119
131 6.264 0.993575 33.4274 1.00311 67.6447 0.968046 67.6445
132 6.312 0.999103 34.2288 1.00124 69.2526 0.965347 69.1963
133 6.36 1.01321 35.054 1.00538 70.8919 0.970728 70.7806
134 6.408 1.02073 35.8979 1.00052 72.5479 0.970433 72.3884
135 6.456 1.02418 36.7574 1.00248 74.2322 0.970323 74.0202
136 6.504 1.02551 37.6309 1.00448 75.9449 0.973714 75.6821
137 6.552 1.02863 38.52 0.996865 77.6699 0.979462 77.3787
138 6.6 1.04143 39.4334 0.997401 79.4212 0.985689 79.1111
139 6.648 1.04026 40.3591 1.00003 81.2027 0.987322 80.8717
140 6.696 1.047 41.3043 0.99798 83.0064 0.990992 82.6645
141 6.744 1.04571 42.2619 0.999681 84.8391 0.99416 84.4888
142 6.792 1.04376 43.2314 0.997537 86.694 0.994901 86.3406
143 6.84 1.04996 44.2205 0.99727 88.5747 1.00357 88.2351
144 6.888 1.04864 45.2222 0.999429 90.486 1.0039 90.1569
145 6.936 1.04173 46.2313 0.996868 92.4191 1.00744 92.1124
146 6.984 1.03958 47.2522 1.00106 94.3873 1.01302 94.106
147 7.032 1.04291 48.2906 0.998399 96.3774 1.013 96.1271
148 7.08 1.0315 49.3317 0.998508 98.3949 1.0128 98.1755
149 7.128 1.03332 50.3888 1.00247 100.448 1.0163 100.259
150 7.176 1.03032 51.457 1.0005 102.525 1.02029 102.379
151 7.224 1.02496 52.534 1.00458 104.638 1.02316 104.533
152 7.272 1.02777 53.6283 1.00052 106.771 1.01813 106.706
153 7.32 1.01837 54.727 1.00463 108.94 1.02296 108.917
154 7.368 1.01344 55.8348 1.00487 111.139 1.0269 111.166
155 7.416 1.01808 56.9621 1.0062 113.37 1.02268 113.436
156 7.464 1.00482 58.0893 1.00609 115.629 1.02185 115.733
157 7.512 1.00251 59.2283 1.00451 117.914 1.02143 118.058
158 7.56 0.998101 60.3769 1.00577 120.231 1.02036 120.411
159 7.608 1.00119 61.5437 1.00786 122.583 1.02075 122.795
160 7.656 1.00265 62.727 1.01036 124.97 1.02014 125.208
161 7.704 0.994305 63.9152 1.00801 127.381 1.01796 127.646
162 7.752 0.991489 65.1149 1.01041 129.829 1.01548 130.108
163 7.8 0.99041 66.3281 1.00711 132.299 1.01398 132.597
164 7.848 0.99152 67.5577 1.0122 134.812 1.0092 135.105
165 7.896 0.992146 68.8032 1.0085 137.346 1.0077 137.64
166 7.944 0.990614 70.0619 1.01082 139.917 1.00499 140.199
167 7.992 0.990374 71.3356 1.00677 142.509 1.00383 142.786
168 8.04 0.990328 72.6245 1.00892 145.138 1.00296 145.402
169 8.088 0.985232 73.9222 1.00876 147.798 1.00064 148.043
170 8.136 0.991969 75.2443 1.00687 150.485 1.00034 150.714
171 8.184 0.993016 76.5834 1.00828 153.207 0.995788 153.405
172 8.232 0.985544 77.9282 1.01033 155.967 0.994296 156.124
173 8.28 0.989884 79.2946 1.00719 158.75 0.991811 158.868
174 8.328 0.992978 80.6812 1.00434 161.558 0.990794 161.64
175 8.376 0.998009 82.091 1.00617 164.403 0.992629 164.45
176 8.424 1.0023 83.5231 0.99961 167.263 0.989625 167.284
177 8.472 1.00237 84.9717 1.001 170.159 0.990666 170.152
178 8.52 1.00255 86.437 1.00007 173.085 0.989702 173.051
179 8.568 0.995106 87.9079 1.00027 176.045 0.990518 175.985
180 8.616 0.998745 89.4007 0.999327 179.035 0.988907 178.947
181 8.664 0.998875 90.9104 0.997995 182.055 0.992659 181.954
182 8.712 1.00292 92.443 0.998513 185.11 0.992119 184.992
183 8.76 1.00062 93.9891 0.997371 188.195 0.992921 188.066
184 8.808 1.00789 95.5635 0.994832 191.306 0.992663 191.173
185 8.856 0.997895 97.1393 0.997925 194.46 0.993498 194.317
186 8.904 1.00221 98.7391 0.991927 197.63 0.992922 197.493
187 8.952 1.00562 100.362 0.993627 200.84 0.993123 200.705
188 9 1.00104 101.994 0.995218 204.089 0.995158 203.957
189 9.048 1.00511 103.651 0.995889 207.376 0.993536 207.239
190 9.096 1.00299 105.322 0.9964 210.699 0.994711 210.559
191 9.144 0.99664 107 0.994959 214.052 0.99445 213.914
192 9.192 0.997379 108.697 0.996186 217.445 0.998634 217.319
193 9.24 0.997072 110.411 0.994596 220.868 0.998058 220.757
194 9.288 1.002 112.151 0.994492 224.326 0.999646 224.236
195 9.336 1.00588 113.916 0.995416 227.823 0.998019 227.746
196 9.384 1.00321 115.695 0.99705 231.362 1.00132 231.304
197 9.432 1.00553 117.496 0.997482 234.939 0.998666 234.889
198 9.48 1.00117 119.308 0.995706 238.546 1.00022 238.515
199 9.528 1.005 121.145 0.996406 242.192 1.00167 242.184
200 9.576 1.0004 122.992 0.998281 245.882 1.00188 245.891
201 9.624 1.00096 124.859 0.999305 249.613 0.999099 249.625
202 9.672 1.00391 126.749 1.00028 253.385 1.00275 253.41
203 9.72 0.997759 128.647 0.997671 257.184 1.00147 257.227
204 9.768 0.99933 130.567 1.00036 261.032 1.00272 261.088
205 9.816 0.998641 132.505 1.00194 264.923 1.00039 264.977
206 9.864 0.995499 134.455 1.00304 268.857 1.00103 268.907
207 9.912 0.99971 136.433 1.00213 272.826 0.999584 272.869
208 9.96 0.998742 138.427 1.00307 276.836 1.00123 276.877
