	1	 1	 1	 -0.8476	 14.1416	 -18.9631	 -3.11255
	2	 1	 2	 0.4238	 13.2317	 -18.5581	 -3.20309
	3	 1	 2	 0.4238	 14.4083	 -18.9714	 -2.14881
	4	 2	 1	 -0.8476	 16.2643	 3.80199	 2.28664
	5	 2	 2	 0.4238	 16.7686	 3.6785	 1.432
	6	 2	 2	 0.4238	 16.9098	 3.94408	 3.03704
	7	 3	 1	 -0.8476	 4.40589	 14.6184	 -11.0903
	8	 3	 2	 0.4238	 4.59627	 14.2192	 -11.9872
	9	 3	 2	 0.4238	 4.23292	 15.5981	 -11.1914
	10	 4	 1	 -0.8476	 5.00387	 6.75882	 3.51688
	11	 4	 2	 0.4238	 4.84184	 7.72345	 3.30894
	12	 4	 2	 0.4238	 4.50457	 6.50821	 4.34628
	13	 5	 1	 -0.8476	 9.25145	 11.2672	 -1.27821
	14	 5	 2	 0.4238	 9.54216	 10.3114	 -1.23422
	15	 5	 2	 0.4238	 8.35741	 11.3236	 -1.72264
	16	 6	 1	 -0.8476	 5.34086	 -18.7251	 -9.67083
	17	 6	 2	 0.4238	 6.1316	 -19.102	 -10.1532
	18	 6	 2	 0.4238	 5.57758	 -18.5719	 -8.71139
	19	 7	 1	 -0.8476	 5.75493	 18.1419	 3.03361
	20	 7	 2	 0.4238	 6.39138	 18.3503	 2.29099
	21	 7	 2	 0.4238	 5.91653	 18.7678	 3.79661
	22	 8	 1	 -0.8476	 14.9368	 11.7968	 13.7553
	23	 8	 2	 0.4238	 14.4362	 12.2978	 13.0493
	24	 8	 2	 0.4238	 15.5435	 11.1294	 13.3236
	25	 9	 1	 -0.8476	 12.2448	 5.20425	 -5.70715
	26	 9	 2	 0.4238	 12.248	 6.17461	 -5.46548
	27	 9	 2	 0.4238	 11.309	 4.8539	 -5.66714
	28	 10	 1	 -0.8476	 7.99756	 9.97562	 -5.19224
	29	 10	 2	 0.4238	 8.72887	 10.6063	 -4.93259
	30	 10	 2	 0.4238	 8.39493	 9.10208	 -5.47335
	31	 11	 1	 -0.8476	 5.03411	 7.6676	 -8.89776
	32	 11	 2	 0.4238	 5.58845	 8.43948	 -9.20904
	33	 11	 2	 0.4238	 4.9662	 7.68681	 -7.90025
	34	 12	 1	 -0.8476	 6.37551	 17.3192	 9.12383
	35	 12	 2	 0.4238	 5.60338	 17.8916	 8.84776
	36	 12	 2	 0.4238	 6.96054	 17.1441	 8.33194
	37	 13	 1	 -0.8476	 5.62245	 9.47118	 -4.28624
	38	 13	 2	 0.4238	 6.59384	 9.65112	 -4.44127
	39	 13	 2	 0.4238	 5.38908	 9.69408	 -3.33975
	40	 14	 1	 -0.8476	 10.0228	 -18.732	 -6.44436
	41	 14	 2	 0.4238	 9.51569	 -19.5726	 -6.25415
	42	 14	 2	 0.4238	 9.52288	 -17.9498	 -6.07253
	43	 15	 1	 -0.8476	 5.2093	 4.70359	 -11.9718
	44	 15	 2	 0.4238	 4.39396	 4.27464	 -12.3606
	45	 15	 2	 0.4238	 5.94152	 4.70628	 -12.6528
	46	 16	 1	 -0.8476	 11.6309	 14.5629	 1.49154
	47	 16	 2	 0.4238	 12.2373	 14.9035	 2.21
	48	 16	 2	 0.4238	 11.8579	 13.6107	 1.2874
	49	 17	 1	 -0.8476	 19.2367	 0.00492791	 -7.17856
	50	 17	 2	 0.4238	 19.4307	 0.751243	 -7.81525
	51	 17	 2	 0.4238	 19.276	 0.348552	 -6.24027
