# Time-averaged data for fix out
# TimeStep Number-of-rows
# Row c_myrdfs[1] c_myrdfs[2] c_myrdfs[3] c_myrdfs[4] c_myrdfs[5]
100000 250
144 6.888 1.02408 43.1939 1.0009 45.7472
145 6.936 1.09612 44.2328 0.96482 46.6617
146 6.984 1.05971 45.2511 1.03717 47.6583
147 7.032 1.0778 46.3011 0.979146 48.6122
148 7.08 1.08124 47.3689 0.974353 49.5744
149 7.128 1.09392 48.4639 0.97848 50.5539
150 7.176 1.14724 49.6278 0.992814 51.5611
151 7.224 1.10719 50.7661 0.976963 52.5656
152 7.272 1.09262 51.9044 0.983305 53.59
153 7.32 1.08518 53.05 0.97203 54.6161
154 7.368 1.11368 54.2411 0.986417 55.6711
155 7.416 1.11213 55.4461 0.99625 56.7506
156 7.464 1.11154 56.6661 0.99765 57.8456
157 7.512 1.07389 57.86 1.01792 58.9772
158 7.56 1.05635 59.0494 0.960633 60.0589
159 7.608 1.04891 60.2456 0.99873 61.1978
160 7.656 1.07332 61.485 0.954975 62.3006
161 7.704 1.04669 62.7089 0.993949 63.4628
162 7.752 1.02438 63.9217 1.03611 64.6894
163 7.8 1.02803 65.1539 0.990491 65.8767
164 7.848 1.01916 66.3906 0.998557 67.0883
165 7.896 0.97198 67.5844 0.997761 68.3139
166 7.944 0.998251 68.8256 1.0264 69.59
167 7.992 0.993802 70.0761 1.01455 70.8667
168 8.04 1.02429 71.3806 0.960159 72.0894
169 8.088 0.982851 72.6472 0.983713 73.3572
170 8.136 0.988329 73.9361 1.01857 74.6856
171 8.184 0.980559 75.23 1.05466 76.0772
172 8.232 0.982889 76.5422 0.988299 77.3967
173 8.28 0.973583 77.8572 0.983866 78.7256
174 8.328 0.975403 79.19 1.01525 80.1128
175 8.376 1.00123 80.5739 1.02575 81.5306
176 8.424 0.963233 81.9206 1.03873 82.9828
177 8.472 0.975136 83.2994 1.00421 84.4028
178 8.52 0.94126 84.6456 1.0174 85.8578
179 8.568 1.00987 86.1061 1.04675 87.3717
180 8.616 0.988777 87.5522 1.03094 88.8794
181 8.664 0.962825 88.9761 1.02969 90.4022
182 8.712 0.9972 90.4672 1.03287 91.9467
183 8.76 0.958006 91.9156 1.02084 93.49
184 8.808 0.959224 93.3817 0.995936 95.0122
185 8.856 0.988765 94.9094 1.03874 96.6172
186 8.904 1.0201 96.5028 1.0386 98.2394
187 8.952 0.995822 98.075 1.02995 99.8656
188 9 0.990799 99.6561 1.01726 101.489
189 9.048 0.988581 101.251 0.996848 103.097
190 9.096 1.02214 102.917 1.03884 104.79
191 9.144 0.979062 104.529 1.0192 106.469
192 9.192 1.0019 106.197 1.01092 108.152
193 9.24 1.02917 107.928 1.01695 109.862
194 9.288 0.999932 109.628 0.995356 111.554
195 9.336 1.01944 111.378 0.9955 113.263
196 9.384 0.99687 113.108 1.00328 115.004
197 9.432 1.02859 114.911 0.975022 116.713
198 9.48 1.0455 116.762 0.983372 118.454
199 9.528 1.0061 118.561 0.997718 120.238
200 9.576 0.997889 120.364 0.97175 121.994
201 9.624 1.01962 122.224 0.966343 123.757
202 9.672 1.03696 124.136 1.00199 125.604
203 9.72 0.993911 125.986 0.984658 127.437
204 9.768 1.01224 127.888 0.966138 129.253
205 9.816 0.974565 129.738 0.979248 131.112
206 9.864 1.04191 131.736 0.977276 132.985
207 9.912 1.02495 133.719 0.996823 134.914
208 9.96 1.00287 135.679 0.971035 136.812
209 10.008 0.996935 137.647 1.02678 138.838
210 10.056 0.981306 139.602 1.01365 140.858
211 10.104 0.955432 141.523 0.996588 142.862
212 10.152 1.02385 143.602 0.987733 144.868
213 10.2 0.998516 145.649 0.967346 146.851
214 10.248 1.00261 147.723 1.01228 148.945
215 10.296 1.01669 149.847 0.981313 150.994
216 10.344 0.9688 151.889 0.998581 153.099
217 10.392 1.0228 154.065 0.991728 155.209
218 10.44 1.01005 156.234 0.999446 157.356
219 10.488 1.02159 158.448 1.00826 159.541
220 10.536 1.02679 160.693 1.02653 161.786
221 10.584 1.0175 162.939 0.980743 163.95
222 10.632 1.02903 165.231 1.00808 166.195
223 10.68 0.982969 167.439 1.0156 168.477
224 10.728 0.998939 169.704 1.02001 170.79
225 10.776 1.03644 172.076 0.961647 172.99
226 10.824 1.00392 174.393 0.996462 175.29
227 10.872 1.01679 176.761 0.980287 177.573
228 10.92 1.05611 179.242 1.00858 179.942
229 10.968 1.01172 181.639 1.00375 182.321
230 11.016 1.03476 184.113 0.995956 184.702
231 11.064 1.02972 186.597 1.01498 187.15
232 11.112 1.03569 189.116 1.01742 189.625
233 11.16 1.00506 191.582 1.02997 192.152
234 11.208 1.00208 194.062 1.00186 194.632
235 11.256 1.00913 196.581 1.0147 197.164
236 11.304 0.999038 199.096 1.02464 199.744
237 11.352 1.02321 201.694 1.01533 202.322
238 11.4 1.01548 204.294 1.02438 204.944
239 11.448 1.01989 206.927 0.997517 207.52
240 11.496 1.00883 209.554 0.995178 210.111
241 11.544 1.01295 212.213 1.0011 212.739
242 11.592 1.02934 214.938 1.02472 215.452
243 11.64 1.01691 217.653 0.996932 218.113
244 11.688 1.00445 220.356 1.02571 220.874
245 11.736 1.01038 223.098 0.987855 223.554
246 11.784 1.02166 225.893 1.0111 226.321
247 11.832 1.00795 228.673 0.977731 229.017
248 11.88 1.00561 231.469 0.985631 231.758
249 11.928 0.99357 234.254 1.00209 234.567
250 11.976 1.00233 237.086 1.01275 237.428
150000 250
1 0.024 0 0 0 0
2 0.072 0 0 0 0
3 0.12 0 0 0 0
4 0.168 0 0 0 0
5 0.216 0 0 0 0
6 0.264 0 0 0 0
7 0.312 0 0 0 0
8 0.36 0 0 0 0
9 0.408 0 0 0 0
10 0.456 0 0 0 0
11 0.504 0 0 0 0
12 0.552 0 0 0 0
13 0.6 0 0 0 0
14 0.648 0 0 0 0
15 0.696 0 0 0 0
16 0.744 0 0 0 0
17 0.792 0 0 0 0
18 0.84 0 0 0 0
19 0.888 0 0 0 0
20 0.936 0 0 0 0
21 0.984 0 0 0 0
22 1.032 0 0 0 0
23 1.08 0 0 0 0
24 1.128 0 0 0 0
25 1.176 0 0 0 0
26 1.224 0 0 0 0
27 1.272 0 0 0 0
28 1.32 0 0 0 0
29 1.368 0 0 0 0
30 1.416 0 0 0 0
31 1.464 0 0 0 0
32 1.512 0 0 0 0
33 1.56 0 0 0 0
34 1.608 0 0 0 0
35 1.656 0 0 0 0
36 1.704 0 0 0 0
37 1.752 0 0 0 0
38 1.8 0 0 0 0
39 1.848 0 0 0 0
40 1.896 0 0 0 0
41 1.944 0 0 0 0
42 1.992 0 0 0 0
43 2.04 0 0 0 0
44 2.088 0 0 0 0
45 2.136 0 0 0.0370823 0.00333333
46 2.184 0 0 0.425644 0.0433333
47 2.232 0 0 2.05465 0.245
48 2.28 0 0 4.81686 0.738333
49 2.328 0 0 7.61722 1.55167
50 2.376 0 0 8.38148 2.48389
51 2.424 0 0 7.7265 3.37833
52 2.472 0 0 5.62048 4.055
53 2.52 0 0 4.30275 4.59333
54 2.568 0 0 3.05731 4.99056
55 2.616 0 0 1.74297 5.22556
56 2.664 0 0 1.21584 5.39556
57 2.712 0 0 0.720782 5.5
58 2.76 0 0 0.470123 5.57056
59 2.808 0.0214577 0.00333333 0.407696 5.63389
60 2.856 0.131369 0.0244444 0.30768 5.68333
61 2.904 0.414625 0.0933333 0.193937 5.71556
62 2.952 1.19728 0.298889 0.135908 5.73889
63 3 2.13369 0.677222 0.106528 5.75778
64 3.048 3.21435 1.26556 0.103199 5.77667
65 3.096 3.80386 1.98389 0.0970823 5.795
66 3.144 3.98814 2.76056 0.0855824 5.81167
67 3.192 3.75286 3.51389 0.0913306 5.83
68 3.24 3.26373 4.18889 0.115507 5.85389
69 3.288 2.81441 4.78833 0.0991172 5.875
70 3.336 2.15122 5.26 0.126691 5.90278
71 3.384 1.63753 5.62944 0.167447 5.94056
72 3.432 1.20421 5.90889 0.148432 5.975
73 3.48 0.922075 6.12889 0.193263 6.02111
74 3.528 0.851845 6.33778 0.251475 6.08278
75 3.576 0.65272 6.50222 0.304309 6.15944
76 3.624 0.517453 6.63611 0.332802 6.24556
77 3.672 0.428725 6.75 0.424542 6.35833
78 3.72 0.415695 6.86333 0.480902 6.48944
79 3.768 0.407158 6.97722 0.522354 6.63556
80 3.816 0.367932 7.08278 0.644849 6.82056
81 3.864 0.434395 7.21056 0.678034 7.02
82 3.912 0.438541 7.34278 0.827332 7.26944
83 3.96 0.397405 7.46556 0.875729 7.54
84 4.008 0.435339 7.60333 0.976002 7.84889
85 4.056 0.527942 7.77444 0.944468 8.155
86 4.104 0.542453 7.95444 1.2088 8.55611
87 4.152 0.633035 8.16944 1.22191 8.97111
88 4.2 0.671402 8.40278 1.26607 9.41111
89 4.248 0.689131 8.64778 1.34076 9.88778
90 4.296 0.785356 8.93333 1.44237 10.4122
91 4.344 0.811432 9.235 1.41366 10.9378
92 4.392 0.894662 9.575 1.45748 11.4917
93 4.44 0.954096 9.94556 1.40754 12.0383
94 4.488 0.989797 10.3383 1.4252 12.6039
95 4.536 1.11012 10.7883 1.43631 13.1861
96 4.584 1.07492 11.2333 1.42383 13.7756
97 4.632 1.23939 11.7572 1.37739 14.3578
98 4.68 1.142 12.25 1.32224 14.9283
99 4.728 1.21606 12.7856 1.32581 15.5122
100 4.776 1.18185 13.3167 1.31289 16.1022
101 4.824 1.20086 13.8672 1.27356 16.6861
102 4.872 1.23909 14.4467 1.21177 17.2528
103 4.92 1.3059 15.0694 1.18474 17.8178
104 4.968 1.2865 15.695 1.06142 18.3339
105 5.016 1.26648 16.3228 1.04568 18.8522
106 5.064 1.24808 16.9533 0.998462 19.3567
107 5.112 1.2377 17.5906 1.0316 19.8878
108 5.16 1.23702 18.2394 0.965893 20.3944
109 5.208 1.19249 18.8767 0.880592 20.865
110 5.256 1.17591 19.5167 0.90235 21.3561
111 5.304 1.17076 20.1656 0.852012 21.8283
112 5.352 1.0839 20.7772 0.828922 22.2961
113 5.4 1.10243 21.4106 0.886779 22.8056
114 5.448 1.08024 22.0422 0.913976 23.34
115 5.496 1.04185 22.6622 0.968097 23.9161
116 5.544 1.00554 23.2711 0.929388 24.4789
117 5.592 0.998268 23.8861 0.939653 25.0578
118 5.64 0.942343 24.4767 0.953867 25.6556
119 5.688 0.938708 25.075 0.962241 26.2689
120 5.736 0.920492 25.6717 0.949632 26.8844
121 5.784 0.897691 26.2633 0.971867 27.525
122 5.832 0.953448 26.9022 0.995731 28.1922
123 5.88 0.90369 27.5178 0.981988 28.8611
124 5.928 0.918805 28.1539 0.969359 29.5322
125 5.976 0.876468 28.7706 0.999647 30.2356
126 6.024 0.889754 29.4067 1.00709 30.9556
127 6.072 0.894863 30.0567 0.980525 31.6678
128 6.12 0.85453 30.6872 1.03221 32.4294
129 6.168 0.845729 31.3211 1.00213 33.1806
130 6.216 0.913728 32.0167 0.986709 33.9317
131 6.264 0.835816 32.6628 0.993205 34.6994
132 6.312 0.899593 33.3689 1.00859 35.4911
133 6.36 0.929288 34.1094 0.978785 36.2711
134 6.408 0.877648 34.8194 1.03422 37.1078
135 6.456 0.908623 35.5656 0.960041 37.8961
136 6.504 0.900594 36.3161 0.969255 38.7039
137 6.552 0.950507 37.12 0.953791 39.5106
138 6.6 0.938674 37.9256 0.979458 40.3511
139 6.648 0.976212 38.7756 1.00237 41.2239
140 6.696 0.985537 39.6461 0.954719 42.0672
141 6.744 0.951717 40.4989 1.01248 42.9744
142 6.792 1.01595 41.4222 0.935868 43.825
143 6.84 1.02886 42.3706 0.980641 44.7289
144 6.888 1.00506 43.31 0.946219 45.6133
145 6.936 1.05216 44.3072 1.00761 46.5683
146 6.984 1.04006 45.3067 1.00537 47.5344
147 7.032 1.05784 46.3372 0.9455 48.4556
148 7.08 1.10768 47.4311 0.986167 49.4294
149 7.128 1.07172 48.5039 0.938519 50.3689
150 7.176 1.08974 49.6094 0.949005 51.3317
151 7.224 1.08071 50.7206 0.95859 52.3172
152 7.272 1.09742 51.8639 0.924115 53.28
153 7.32 1.08255 53.0067 0.975714 54.31
154 7.368 1.07784 54.1594 0.990054 55.3689
155 7.416 1.08444 55.3344 0.961897 56.4111
156 7.464 1.09736 56.5389 0.946528 57.45
157 7.512 1.07239 57.7311 0.985441 58.5456
158 7.56 1.04994 58.9133 0.954219 59.62
159 7.608 1.05768 60.1194 0.955857 60.71
160 7.656 1.05985 61.3433 0.961229 61.82
161 7.704 1.01913 62.535 0.954039 62.9356
162 7.752 1.04737 63.775 0.981209 64.0972
163 7.8 1.00486 64.9794 0.990491 65.2844
164 7.848 0.995352 66.1872 0.997183 66.4944
165 7.896 0.971075 67.38 0.999118 67.7217
166 7.944 0.990655 68.6117 1.00987 68.9772
167 7.992 0.97835 69.8428 1.00219 70.2383
168 8.04 1.00553 71.1233 0.995058 71.5056
169 8.088 0.992335 72.4022 1.02811 72.8306
